scenario_name,crash_event,detected,false_activation,missed_event,time_to_detection_min,detection_lead_time_min,min_do_mg_l,peak_crash_score,aerator_samples,total_samples,fail_safe_activation
generated_0000,True,True,False,False,0.0,0.0,2.824,88.21677604848823,23,145,False
generated_0001,True,True,False,False,0.0,0.0,3.9934348865422966,46.08709736448737,14,73,False
generated_0002,False,True,True,False,,,6.0998275768,80.58184767243011,36,109,True
generated_0003,True,True,False,False,0.0,0.0,3.08,76.71496954338542,21,109,False
generated_0004,True,True,False,False,-275.0,275.0,3.495,82.53804619264147,36,145,True
generated_0005,True,True,False,False,0.0,0.0,3.727,52.110982825924424,16,145,False
generated_0006,True,True,False,False,-330.0,330.0,3.278,99.92775570899606,58,109,True
generated_0007,False,True,True,False,,,5.983785353994,96.60719775803295,31,73,True
generated_0008,True,True,False,False,-270.0,270.0,3.158,87.4579342801899,20,73,True
generated_0009,False,True,True,False,,,4.036448294070511,47.41105558195389,14,109,False
generated_0010,False,True,True,False,,,4.014152739981076,67.94537363839555,13,109,False
generated_0011,False,True,True,False,,,4.041,69.80962496401176,14,73,False
generated_0012,False,True,True,False,,,4.0440999456293465,50.12382169705626,13,145,False
generated_0013,True,True,False,False,0.0,0.0,3.031,70.3609794498745,22,145,False
generated_0014,False,False,False,False,,,5.402064734267492,21.748136623914533,0,73,False
generated_0015,True,True,False,False,-535.0,535.0,3.391,75.68064985859134,28,145,False
generated_0016,True,True,False,False,-265.0,265.0,3.325,95.0,47,109,True
generated_0017,True,True,False,False,-280.0,280.0,2.903,97.44429096964066,32,109,True
generated_0018,False,False,False,False,,,4.721679540708496,29.462947255837378,0,109,False
generated_0019,False,True,True,False,,,6.359735288092505,98.06887746038431,16,145,True
generated_0020,False,False,False,False,,,6.160474649577696,21.64964325202126,0,109,False
generated_0021,True,True,False,False,-495.0,495.0,3.211,87.5,36,109,True
generated_0022,True,True,False,False,0.0,0.0,3.538,87.82089173694769,18,109,False
generated_0023,True,True,False,False,5.0,-5.0,3.986980670143341,46.22491050064234,14,109,False
generated_0024,True,True,False,False,0.0,0.0,3.612,69.69016891414367,16,145,False
generated_0025,True,True,False,False,5.0,-5.0,3.746,68.13773555385453,30,145,False
generated_0026,False,True,True,False,,,7.536,95.0,24,73,True
generated_0027,True,True,False,False,0.0,0.0,3.868,66.90373511040242,13,145,False
generated_0028,False,True,True,False,,,7.5224668779662975,83.83331583128523,23,73,True
generated_0029,False,True,True,False,,,5.444535196569091,77.78311300708465,7,73,True
generated_0030,True,True,False,False,-255.0,255.0,3.695,89.46279621510541,35,73,True
generated_0031,False,True,True,False,,,4.000102938964378,51.07759754102905,13,145,False
generated_0032,True,True,False,False,-270.0,270.0,3.199,87.5,40,109,True
