temp_c,ph,slope_mV_per_ph,diff_mV,within_ads_fs_0p512
0,4,54.208580092040286,162.62574027612087,True
0,7,54.208580092040286,0.0,True
0,10,54.208580092040286,-162.62574027612087,True
25,4,59.17000971789058,177.51002915367172,True
25,7,59.17000971789058,0.0,True
25,10,59.17000971789058,-177.51002915367172,True
30,4,60.16229564306064,180.4868869291819,True
30,7,60.16229564306064,0.0,True
30,10,60.16229564306064,-180.4868869291819,True
40,4,62.14686749340075,186.44060248020222,True
40,7,62.14686749340075,0.0,True
40,10,62.14686749340075,-186.44060248020222,True
