battery_v,efficiency,output_power_w,battery_input_power_w,battery_input_current_a,rail_current_pass
6.0,0.85,15.64,18.400000000000002,3.066666666666667,True
6.4,0.85,15.64,18.400000000000002,2.875,True
7.0,0.85,15.64,18.400000000000002,2.628571428571429,True
7.4,0.85,15.64,18.400000000000002,2.486486486486487,True
8.0,0.85,15.64,18.400000000000002,2.3000000000000003,True
8.4,0.85,15.64,18.400000000000002,2.1904761904761907,True
6.0,0.9,15.64,17.377777777777776,2.896296296296296,True
6.4,0.9,15.64,17.377777777777776,2.7152777777777772,True
7.0,0.9,15.64,17.377777777777776,2.482539682539682,True
7.4,0.9,15.64,17.377777777777776,2.348348348348348,True
8.0,0.9,15.64,17.377777777777776,2.172222222222222,True
8.4,0.9,15.64,17.377777777777776,2.0687830687830684,True
6.0,0.95,15.64,16.46315789473684,2.743859649122807,True
6.4,0.95,15.64,16.46315789473684,2.5723684210526314,True
7.0,0.95,15.64,16.46315789473684,2.35187969924812,True
7.4,0.95,15.64,16.46315789473684,2.2247510668563297,True
8.0,0.95,15.64,16.46315789473684,2.057894736842105,True
8.4,0.95,15.64,16.46315789473684,1.9598997493734334,True
