time_min,true_do_mg_l,sensor_do_mg_l,true_nh3_mg_l,sensor_nh3_mg_l,sensor_ph,sensor_temperature_c,crash_score,aerator,alert
0.0,6.2,6.19236,0.08,0.08195,8.37862,30.99888,15.09644,0,
5.0,6.18721,6.18291,0.08083,0.07987,8.38465,31.01431,15.14618,0,
10.0,6.17442,6.19264,0.08167,0.08548,8.40153,30.97105,15.24507,0,
15.0,6.16163,6.15396,0.0825,0.08974,8.40684,31.01304,15.68772,0,
20.0,6.14884,6.15371,0.08333,0.08023,8.40944,31.01121,15.1654,0,
25.0,6.13605,6.09729,0.08417,0.08912,8.40993,31.02943,15.95178,0,
30.0,6.12325,6.13159,0.085,0.08511,8.41072,31.02117,15.38594,0,
35.0,6.11046,6.08757,0.08583,0.09009,8.40728,31.04095,15.86901,0,
40.0,6.09767,6.07198,0.08667,0.08435,8.43634,31.00274,15.34407,0,
45.0,6.08488,6.09889,0.0875,0.08638,8.39151,31.04137,15.5205,0,
50.0,6.07208,6.08788,0.08833,0.09073,8.39218,31.01894,15.5553,0,
55.0,6.05929,6.0949,0.08917,0.0902,8.40472,31.04353,15.55346,0,
60.0,6.0465,6.04009,0.09,0.0883,8.40618,30.96072,15.66342,0,
65.0,6.0337,6.03406,0.09083,0.09901,8.41304,31.00985,16.22357,0,
70.0,6.0209,6.00067,0.09167,0.0971,8.40351,31.02894,16.34439,0,
75.0,6.00811,6.06335,0.0925,0.08768,8.41059,31.02976,15.41356,0,
80.0,5.99531,6.01361,0.09333,0.09235,8.4076,31.03476,15.75242,0,
85.0,5.98251,6.00259,0.09417,0.09636,8.38995,31.0702,15.88827,0,
90.0,5.96971,5.97531,0.095,0.08479,8.4178,31.04244,15.71257,0,
95.0,5.95691,5.98696,0.09583,0.10023,8.41174,31.06438,16.20614,0,
100.0,5.94411,5.95478,0.09667,0.10174,8.40974,31.03564,16.35664,0,
105.0,5.93131,5.9079,0.0975,0.09583,8.42138,31.05908,16.17994,0,
