time_min,true_do_mg_l,sensor_do_mg_l,true_nh3_mg_l,sensor_nh3_mg_l,sensor_ph,sensor_temperature_c,crash_score,aerator,alert
0.0,6.4,6.4254,0.08,0.08471,8.0977,29.50775,14.23566,0,
5.0,6.38767,6.37723,0.08083,0.08145,8.10239,29.48634,14.77892,0,
10.0,6.37534,6.41259,0.08167,0.07997,8.11898,29.51734,14.09257,0,
15.0,6.36301,6.38203,0.0825,0.08482,8.08769,29.47966,14.45284,0,
20.0,6.35067,6.36038,0.08333,0.08387,8.09245,29.51278,14.27597,0,
25.0,6.33834,6.32193,0.08417,0.09094,8.08952,29.48571,14.99004,0,
30.0,6.32601,6.30617,0.085,0.09588,8.10088,29.4861,15.16508,0,
35.0,6.31368,6.2886,0.08583,0.07991,8.09486,29.54721,14.34639,0,
40.0,6.30135,6.24608,0.08667,0.08875,8.09934,29.49703,14.8082,0,
45.0,6.28901,6.34469,0.0875,0.08718,8.10044,29.50226,14.35889,0,
50.0,6.27668,6.28443,0.08833,0.08927,8.102,29.53964,14.48383,0,
55.0,6.26434,6.22838,0.08917,0.09075,8.10756,29.4936,14.62413,0,
60.0,6.25201,6.30836,0.09,0.08331,8.10352,29.5359,14.34301,0,
65.0,6.23967,6.23946,0.09083,0.09119,8.08056,29.4866,14.7796,0,
70.0,6.22734,6.19403,0.09167,0.08762,8.10751,29.45925,14.54896,0,
75.0,6.215,6.20371,0.0925,0.09361,8.11048,29.53053,15.19209,0,
80.0,6.20266,6.20328,0.09333,0.09336,8.10334,29.53021,14.84495,0,
85.0,6.19032,6.20394,0.09417,0.09662,8.11938,29.56885,14.83089,0,
90.0,6.17798,6.16534,0.095,0.09517,8.10436,29.58753,14.94618,0,
95.0,6.16564,6.20069,0.09583,0.09435,8.11886,29.54099,14.73,0,
100.0,6.1533,6.14556,0.09667,0.09373,8.10919,29.5016,14.97194,0,
105.0,6.14096,6.1502,0.0975,0.1047,8.1146,29.48983,15.30915,0,
110.0,6.12861,6.10066,0.09833,0.09792,8.10757,29.56836,15.38493,0,
115.0,6.11627,6.04956,0.09917,0.10223,8.10514,29.56519,15.58075,0,
