time_min,true_do_mg_l,sensor_do_mg_l,true_nh3_mg_l,sensor_nh3_mg_l,sensor_ph,sensor_temperature_c,crash_score,aerator,alert
0.0,7.4,7.41584,0.04,0.04038,7.99062,27.94328,12.01883,0,
5.0,7.388,7.4018,0.04083,0.04123,8.00458,28.04124,12.26719,0,
10.0,7.376,7.34516,0.04167,0.03876,7.99712,27.9743,12.45637,0,
15.0,7.364,7.35943,0.0425,0.04363,7.9857,27.96765,12.45741,0,
20.0,7.352,7.37123,0.04333,0.04284,7.98562,27.96089,12.29154,0,
25.0,7.34,7.35379,0.04417,0.04478,8.00091,28.01597,12.23897,0,
30.0,7.328,7.3153,0.045,0.04717,8.01394,27.9865,12.57407,0,
35.0,7.316,7.31444,0.04583,0.04406,7.99274,27.97512,12.48049,0,
40.0,7.304,7.30634,0.04667,0.04453,8.00039,28.02666,12.45855,0,
45.0,7.29199,7.28045,0.0475,0.05152,7.9939,28.01387,12.74647,0,
50.0,7.27999,7.27787,0.04833,0.0523,8.00849,28.11183,12.79361,0,
55.0,7.26799,7.27721,0.04917,0.04959,7.99906,28.01699,12.62185,0,
60.0,7.25599,7.20363,0.05,0.04855,7.99993,27.96955,12.80293,0,
65.0,7.24398,7.23783,0.05083,0.0497,8.02275,27.99911,12.68095,0,
70.0,7.23198,7.25112,0.05167,0.05764,7.99489,27.98779,13.00937,0,
75.0,7.21997,7.1863,0.0525,0.05122,8.00335,28.02742,12.64596,0,
80.0,7.20796,7.21638,0.05333,0.05109,8.00883,28.02091,12.65948,0,
85.0,7.19596,7.19823,0.05417,0.04907,7.99798,28.02092,12.71189,0,
90.0,7.18395,7.18987,0.055,0.05863,7.99375,28.12207,12.93139,0,
95.0,7.17194,7.16184,0.05583,0.05567,8.00063,28.02334,13.0499,0,
100.0,7.15993,7.15013,0.05667,0.05508,8.01415,28.04778,12.98911,0,
105.0,7.14792,7.17948,0.0575,0.06269,8.01215,27.98866,13.1853,0,
110.0,7.13591,7.11685,0.05833,0.05966,7.99566,27.96896,13.20273,0,
115.0,7.12389,7.10272,0.05917,0.06422,7.99986,28.05924,13.4427,0,
120.0,7.11188,7.13105,0.06,0.05849,8.04676,28.08878,13.16148,0,
125.0,7.09986,7.13464,0.06083,0.05823,8.01374,28.08658,12.91156,0,
130.0,7.08784,7.10348,0.06167,0.06145,7.99008,28.09597,13.07248,0,
135.0,7.07583,7.07354,0.0625,0.06079,8.00221,28.047,13.32089,0,
140.0,7.06381,7.04339,0.06333,0.06154,8.01806,28.06589,13.5233,0,
145.0,7.05179,7.04515,0.06417,0.06221,8.01534,28.11318,13.39554,0,
150.0,7.03976,7.01872,0.065,0.06317,8.0144,28.05522,13.42643,0,
155.0,7.02774,7.02235,0.06583,0.06832,7.98215,28.10883,13.51891,0,
160.0,7.01571,7.01932,0.06667,0.06896,8.02484,28.065,13.57426,0,
165.0,7.00369,6.99577,0.0675,0.06355,8.03725,28.09145,13.28961,0,
170.0,6.99166,7.00162,0.06833,0.06773,8.01229,28.08474,13.48786,0,
175.0,6.97963,6.98779,0.06917,0.07324,8.03683,28.06387,13.81625,0,
180.0,6.9676,6.96732,0.07,0.07025,8.02057,28.14931,13.65156,0,
185.0,6.95557,6.96347,0.07083,0.07091,8.0046,28.08767,13.7318,0,
190.0,6.94354,6.95549,0.07167,0.07352,8.03752,28.05799,13.83366,0,
195.0,6.93151,6.9593,0.0725,0.07564,8.02059,28.09877,13.82134,0,
200.0,6.91947,6.95556,0.07333,0.07252,8.02504,28.08717,13.66457,0,
205.0,6.90744,6.93141,0.07417,0.07004,8.04257,28.15544,13.61972,0,
210.0,6.8954,6.90442,0.075,0.07196,8.02809,28.12676,13.86609,0,
215.0,6.88336,6.91773,0.07583,0.06994,8.006,28.17298,13.68181,0,
220.0,6.87132,6.91105,0.07667,0.08194,8.02928,28.14019,14.1967,0,
225.0,6.85928,6.84864,0.0775,0.08127,8.02391,28.1178,14.33631,0,
230.0,6.84724,6.86944,0.07833,0.07665,8.02711,28.10577,14.06868,0,
235.0,6.8352,6.82681,0.07917,0.08145,8.02993,28.15759,14.48418,0,
240.0,6.82315,6.8202,0.08,0.0815,8.02401,28.07694,14.21414,0,
245.0,6.81111,6.81056,0.08083,0.08081,8.02166,28.11584,14.32823,0,
250.0,6.79906,6.80418,0.08167,0.08498,8.03736,28.14959,14.3594,0,
255.0,6.78702,6.76817,0.0825,0.08727,8.03726,28.1597,14.61768,0,
260.0,6.77497,6.7365,0.08333,0.08424,8.03254,28.12682,14.57418,0,
265.0,6.76292,6.76403,0.08417,0.08855,8.03847,28.12805,14.62365,0,
270.0,6.75087,6.7742,0.085,0.08405,8.04508,28.11596,14.2027,0,
275.0,6.73882,6.76565,0.08583,0.08553,8.02735,28.11243,14.27633,0,
280.0,6.72677,6.68603,0.08667,0.08477,8.03978,28.16644,14.61986,0,
285.0,6.71472,6.6869,0.0875,0.08694,8.03916,28.16728,14.7737,0,
290.0,6.70267,6.71203,0.08833,0.09,8.05104,28.15595,14.76192,0,
295.0,6.69062,6.69622,0.08917,0.09218,8.03567,28.08786,14.60921,0,
300.0,6.67857,6.69718,0.09,0.0901,8.0529,28.13401,14.50517,0,
305.0,6.66652,6.65527,0.09083,0.08955,8.05242,28.14719,14.7552,0,
310.0,6.65447,6.66589,0.09167,0.09457,8.05395,28.14635,14.87654,0,
315.0,6.64242,6.63568,0.0925,0.09123,8.03961,28.15434,14.86239,0,
320.0,6.63036,6.60614,0.09333,0.09678,8.04683,28.14161,15.07932,0,
325.0,6.61831,6.60128,0.09417,0.09768,8.04622,28.06377,15.20011,0,
330.0,6.60626,6.61224,0.095,0.09627,8.04909,28.18085,14.92829,0,
335.0,6.59421,6.56826,0.09583,0.09273,8.05103,28.13011,14.82147,0,
340.0,6.58216,6.55994,0.09667,0.08988,8.06031,28.15219,14.69618,0,
345.0,6.5701,6.57559,0.0975,0.09171,8.06439,28.12338,14.76475,0,
350.0,6.55805,6.54173,0.09833,0.10092,8.04935,28.11341,15.17579,0,
355.0,6.546,6.56088,0.09917,0.09503,8.05525,28.1183,14.75137,0,
360.0,6.53395,6.51268,0.1,0.10033,8.05892,28.07516,7.8242,0,
365.0,6.52726,6.52812,0.10083,0.10418,8.06702,28.12802,7.7758,0,
370.0,6.52056,6.52596,0.10167,0.09905,8.04769,28.11858,7.62336,0,
375.0,6.51387,6.50954,0.1025,0.09909,8.04091,28.08339,7.46969,0,
380.0,6.50717,6.51262,0.10333,0.10786,8.03587,28.11381,7.96891,0,
385.0,6.50048,6.48533,0.10417,0.10825,8.05272,28.1176,8.11118,0,
