time_min,true_do_mg_l,sensor_do_mg_l,true_nh3_mg_l,sensor_nh3_mg_l,sensor_ph,sensor_temperature_c,crash_score,aerator,alert
0.0,6.8,6.75774,0.07,0.06583,7.99455,27.99,13.29171,0,
5.0,6.788,6.79037,0.07083,0.06869,nan,27.99695,13.43453,1,FAIL_SAFE_SENSOR_FAULT
10.0,6.901,6.89552,0.0716,0.06768,7.98866,nan,18.38377,1,FAIL_SAFE_SENSOR_FAULT
15.0,7.014,7.02609,0.07237,0.07355,nan,27.94697,13.67769,1,FAIL_SAFE_SENSOR_FAULT
20.0,7.127,7.14103,0.07313,0.06576,8.00027,28.10034,13.28822,0,
25.0,7.115,7.11403,0.07397,0.07253,8.00704,nan,18.62632,1,FAIL_SAFE_SENSOR_FAULT
30.0,7.228,7.19661,0.07473,0.0804,8.00081,28.0025,14.02021,0,
35.0,7.216,7.16092,0.07557,0.07819,nan,28.00886,13.90972,1,FAIL_SAFE_SENSOR_FAULT
40.0,7.329,nan,0.07633,0.07243,8.00141,27.99112,73.6216,1,FAIL_SAFE_SENSOR_FAULT
45.0,7.44199,nan,0.0771,nan,8.0071,28.04236,95.0,1,FAIL_SAFE_SENSOR_FAULT
50.0,7.55499,7.55379,0.07787,0.07523,nan,28.01527,13.76173,1,FAIL_SAFE_SENSOR_FAULT
55.0,7.66799,7.68342,0.07863,0.07516,8.02186,28.0381,35.75822,0,
60.0,7.65599,nan,0.07947,0.07379,8.0018,28.06574,73.6894,1,FAIL_SAFE_SENSOR_FAULT
65.0,7.76898,7.77677,0.08023,0.0812,7.99542,27.99946,14.06002,0,
70.0,7.75698,7.73097,0.08107,0.08173,8.01608,28.07335,14.0867,0,
75.0,7.74497,7.75708,0.0819,0.08952,8.02392,28.00298,36.47603,0,
80.0,7.73296,7.73743,0.08273,0.08359,8.00266,28.00287,14.37162,0,
85.0,7.72096,7.71761,0.08357,0.08656,nan,27.97352,14.39317,1,FAIL_SAFE_SENSOR_FAULT
90.0,7.83395,7.81969,0.08433,0.08727,nan,28.02135,14.36328,1,FAIL_SAFE_SENSOR_FAULT
95.0,7.94694,7.95851,0.0851,0.08625,8.0132,28.0557,14.31272,0,
100.0,7.93493,7.918,0.08593,0.07954,nan,nan,18.97708,1,FAIL_SAFE_SENSOR_FAULT
105.0,8.04792,nan,0.0867,0.08281,nan,27.9685,74.14053,1,FAIL_SAFE_SENSOR_FAULT
110.0,8.16091,8.15876,0.08747,0.08312,nan,28.04026,14.15587,1,FAIL_SAFE_SENSOR_FAULT
115.0,8.27389,8.2311,0.08823,0.09121,7.9884,28.09859,14.56072,0,
120.0,8.26188,8.23825,0.08907,0.09333,8.00074,28.01742,36.6666,0,
125.0,8.24986,nan,0.0899,0.0865,8.0232,28.0238,74.32495,1,FAIL_SAFE_SENSOR_FAULT
130.0,8.36284,8.34402,0.09067,0.08804,nan,28.1009,14.40212,1,FAIL_SAFE_SENSOR_FAULT
135.0,8.47583,8.48087,0.09143,0.08956,8.00208,28.06473,14.47815,0,
140.0,8.46381,8.46682,0.09227,0.09316,8.01993,28.00979,36.65808,0,
145.0,8.45179,8.46683,0.0931,0.09479,8.02509,28.09446,14.73939,0,
150.0,8.43976,8.4263,0.09393,0.09777,8.0248,28.05916,15.1555,0,
155.0,8.42774,8.38023,0.09477,0.09095,8.01935,28.05622,14.97066,0,
160.0,8.41571,8.39913,0.0956,0.10105,nan,nan,20.38362,1,FAIL_SAFE_SENSOR_FAULT
165.0,8.52869,8.52622,0.09637,nan,8.01107,28.07766,35.0,1,FAIL_SAFE_SENSOR_FAULT
170.0,8.64166,nan,0.09713,nan,8.03841,28.10133,95.0,1,FAIL_SAFE_SENSOR_FAULT
175.0,8.75463,nan,0.0979,nan,8.0075,28.11035,95.0,1,FAIL_SAFE_SENSOR_FAULT
180.0,8.8676,8.89695,0.09867,0.09671,8.02244,28.1041,14.83534,0,
